ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10093944,HY282927,06/01/2015 12:00:00 AM,040XX N PULASKI RD,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,ALLEY,false,false,1722,017,39,16,26,1148969,1926347,2015,06/08/2015 12:48:46 PM,41.953828727,-87.727770359,"(41.953828727, -87.727770359)"
10096025,HY284642,06/01/2015 12:00:00 AM,020XX N FREMONT ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,false,false,1812,018,43,7,11,1169930,1913565,2015,06/08/2015 12:48:46 PM,41.918322073,-87.65108952,"(41.918322073, -87.65108952)"
10095384,HY282884,06/01/2015 12:00:00 AM,002XX E 32ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0211,,3,35,08B,,,2015,06/08/2015 12:48:46 PM,,,
10095018,HY283813,06/01/2015 12:00:00 AM,070XX S CHAPPEL AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,true,0331,003,5,43,20,1191135,1858705,2015,06/08/2015 12:48:46 PM,41.767294578,-87.574962034,"(41.767294578, -87.574962034)"
9679355,HX329341,06/01/2014 12:00:00 AM,066XX S ABERDEEN ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0724,007,17,68,06,1170165,1860793,2014,07/04/2014 12:37:50 PM,41.773505969,-87.651764861,"(41.773505969, -87.651764861)"
9649455,HX300099,06/01/2014 12:00:00 AM,069XX N OLCOTT AVE,0810,THEFT,OVER $500,STREET,false,false,1611,016,41,9,06,1125445,1945812,2014,06/13/2014 12:36:59 PM,42.007666279,-87.813814849,"(42.007666279, -87.813814849)"
9636780,HX285176,06/01/2014 12:00:00 AM,058XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2022,020,48,77,06,1168531,1939127,2014,06/08/2014 12:38:18 PM,41.988495609,-87.655486689,"(41.988495609, -87.655486689)"
9946862,HY135107,06/01/2014 12:00:00 AM,016XX N KEYSTONE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,2534,025,30,23,20,1149092,1910632,2014,02/02/2015 12:49:23 PM,41.910703012,-87.72772626,"(41.910703012, -87.72772626)"
9934688,HY123629,06/01/2014 12:00:00 AM,065XX S MINERVA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0321,003,20,42,11,1185052,1861728,2014,01/26/2015 12:53:30 PM,41.775734979,-87.597163634,"(41.775734979, -87.597163634)"
9930117,HY118764,06/01/2014 12:00:00 AM,031XX N BROADWAY,0810,THEFT,OVER $500,CONVENIENCE STORE,true,false,1934,019,44,6,06,1171755,1920635,2014,01/22/2015 12:48:16 PM,41.937682429,-87.644175612,"(41.937682429, -87.644175612)"
9926972,HY115707,06/01/2014 12:00:00 AM,008XX W BELLE PLAINE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,1915,019,46,3,02,1170037,1927745,2014,01/22/2015 12:48:16 PM,41.957230265,-87.650281291,"(41.957230265, -87.650281291)"
9886647,HX537422,06/01/2014 12:00:00 AM,014XX S RIDGEWAY AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,1011,010,24,29,17,1151579,1892499,2014,01/01/2015 12:40:33 PM,41.860895608,-87.719066698,"(41.860895608, -87.719066698)"
